Сапронова,благоразумный
Сергеева,высокочтимый
Сутулина,сутулый
Тагаева,конь
Тарасов,беспокойный
Тимошенко,почитающий бога
Титова,почет
Федорова,божий дар
Шевцова,портной
Шибаева,буйный
Штукатурова,чистый
Бабенко,бабий сын
Базилевская,царь
Гацуцев,танцевать
Головина,сын Головы
Ефанова,известный
Ильичева,Бог мой Яхве
Казнов,казна
Маслов,торговец маслом
Мезиане,поселение
Морозов,зима
Нетребова,необитаемое место
Павленко,малый
Пасечник,пасека
Покатило,покатить
Прохорова,управляющий хором
Пушичкина,легкий
Сафонова,спрятанный Богом
Тузбая,река
Федоров,божий дар
Финошина,потомок Афины
Фролова,цветущий
Щигорева,израненный шрамами
Юхименко,маленький
Бадулина,бодаться
Белялова,исцеляющий
Болдырева,лошадь
Демченко,маленький
Ежикова,колючий
Зинченко,богоугодно живущий
Казарян,плотник
Казначеевская,казна
Кароян,мудрый
Кисиль,Кисель
Минькина,луна
Нетяженко,невесомый
Пестрецова,разноцветный
Петренко,скала
Полюляк,поляк
Свеколкина,свекла
Семичева,слышаший Бога
Соловьева,птичий
Солостова,солнечный
Туркова,турок
Шахбазова,король сокол
Агаи,старший брат
Аникеева,Бог милует
Анисимова,благодетельный
Арамянц,сильный
Афанасьева,бессмертный
Балари,сын
Гайбуллаева,уличный
Гладков,здоровый
Горлачева,горло
Езенкова,быстрый
Исаева,спасение
Капустина,капуста
Ковалевский,кузнец
Коломайнен,третий номер
Котченко,кот
Кравцов,портной
Кравцова,портной
Лизогуб,облизывающий губы
Мамадброимова,учитель
Мельничук,мельница
Мурадалиева,желание
Нелидина,сын льва
Никулина,побеждающий народ
Новикова,новожил
Прядкина,прядь
Пурикова,хитрый
Сергеева,страж
Склярова,стеклодув
Троцько,прогалина
Файзрахманова,милосердный
Шадыжева,дочь Ивана
Шаповалова,валяльщик
Шевченко,портной
Бабасева,старик
Бедоева,бравый
Великая,великий
Верещагина,ворчун
Воронова,ворон
Григорь,бодрствующий
Григорьева,бодрствующий
Гриценко,бодрствующий
Карпец,маленький
Кобякова,собака
Кузнецова,кузнец
Лаптева,лапоть
Малик,царь
Митракова,найденный матерью
Панасовская,бессмертие
Пожитнева,власть
Семеняк,семя
Толстенко,толстый
Фролова,цветущий
Абдельхалек,дарованный Богом
Вербицкая,верба
Гвоздиков,гвоздика
Григорьева,бодрствующий
Гринева,бодрствующий
Дигалова,гнуться
Добряков,добро
Доценко,славный
Жила,скупой
Золотарева,ювелир
Зубкова,здоровый зуб
Калинина,добрый победитель
Кашицына,каша
Колмогорова,Холмогоры
Кондакова,ружейное ложе
Кошевая,аул
Крайненко,край
Мильчинская,дворянин
Савинова,мудрец
Санина,мужественный защитник
Снеговая,зима
Сущенкова,сущность
Фарафонова,спутник
Фуртуна,страшный
Хассан,родился на рассвете
Чувараян,страж
Ширшова,шершень
Акулова,орёл
Боровая,откормленный кабан
Вирченко,водоворот
Дашутина,победитель
Дровянников,дерево
Елисеев,Бог спасает
Карслян,из рода Карслы
Клименко,милостивый
Кобзева,балалайка
Кулиш,пшенная каша
Макаров,счастливый
Мардиросова,мандарин
Мироненко,благоухание
Молчанова,тихий
Никитина,победитель
Остросаблина,острая сабля
Панкова,всесильный
Панченко, небольшой барин
Попова,священник
Рычун,дикий
Стрельцова,стрелок
Стужук,сильный холод
Терещенко,растирать
Филькова,любитель коней
Шабалина,болтать
Эдилян,справедливый
Белозерских,Белозерск
Блинова,блин
Гуртовщикова,гур
Касьян,пустой
Катричев,чистая
Ким,золото
Козлова,козел
Конарева,ветвь
Косых,косоглазие
Крымская,великодушный
Кузнецов,кузнец
Мысочка,белка
Панасенко,бессмертный
Плюшинская,плюш
Попов,священник
Раджабова,надежда
Романенко,римлянин
Титаренко,сельский церковный староста
Шумкова,шум
Аванесова,Бог милостив
Алтунян,золотой
Бобрик,бобр
Гончарова,гончар
Ероян,относящийся к роду Еро
Кантеладзе,черная черепаха
Караичев,смерть
Коняхина,трудящийся
Курченко,цыпленок
Мазко,мазать
Мельникова,мельник
Погосян,Бог
Подгорнов,у горы
Рудницкая,руда
Салимова,мирный
Сорокун,сорока
Тукалова,стучать
Фадеева,достойный похвалы
Шахназарян,король королей
Анникова,узорчатый
Болдырев,лошадь
Власова,простой
Гусейнова,гусь
Диденко,принадлежащий Диду
Зубарев,длинные зубы
Иванютина,одобренный Богом
Колода,набор карт
Куропятникова,куриное пятно
Маданбекова,хозяин шахты
Москаленко,солдат русской армии
Муратова,желание
Рафальская,Бог излечил
Репенко,редис
Рец,житель города Режица
Ржевский,Ржева
Середа,среда
Сураилиду,солнечный
Сурикова,красителя красно-рыжего цвета
Тымчишина,помощник
Хоружая,кровавый лук
Яровикова,огненный
Бородина,окладистая борода
Винскявичус,мудрая девушка
Гончаренко,гончар
Григоренко,бодрствующий
Дудка,громкий
Калачёва,пекарь
Кривич,фальшивый человек
Лозина,великодушный
Мироненко,благоухающий
Мищенко,кто как Бог
Новикова,новожил
Павлова,скромный
Понятовская,княжеский род
Режко,курица
Родзинская,деревня Родзи
Сливканич,сладкий
Стенякина,венок
Степанов,венок
Строганова,изувечанный
Хребтова,хребет
Шапкина,шапка
Богданова,богом данный
Докукина,докучать
Домашенко,родной
Ибрагимова,патриарх
Ковалева,кузнец
Кулишова,похлёбка
Медведева,медведь
Осипова,Бог преумножит
Пелых,хохолок
Целуйко,целовать
Бароян,воля
Болотова,болото
Бондарев,бондарь
Бондаревская,бондарь
Бражкина,брага
Бурмистрова,червяк
Верченко,истина
Грибцова,гриб
Деревянко,дерево
Езерская,озеро
Киященко,початок кукурузы
Колмаков,калмык
Кохан,жрец
Кузьмина,мироздание
Ларина,веселый
Лымарева,высокий
Максимченко,величайший
Мальцева,юноша
Мартазинова,мартак
Мартакова,хрупкий
Маслова,торговец маслом
Наумова,утешающий
Нерсесян,верный
Нечитайлова,чтивый
Пачулия,оброк
Проскурина,просфор
Птицына,птица
Рощина,роща
Сафарян,книга
Смирнова,смирный
Сошникова,соха
Стороженко,сторожила
Суслова,сусло
Титова,почет
Трухан,роскошь
Шаталова,шальной
Авакян,обнимающий
Бадирова,лучший
Бекова,господин
Вонсович,усы
Козицкая,козёл
Круглянская,круг
Кухно,бранить
Назарова,посвященный Богу
Прядкина,прядь
Пушкина,лучший
Резанова,раненный в бою
Серебрянская,серебро
Торопыно,быстрый
Трофименко,кормилец
Чаава,жизнь
Белова,опрятный
Волкова,волк
Гайдаенко,путешественник
Корнилова,рог
Кравченко,портной
Малахова,посланник мой
Махмудова,прославляемый
Палеева,бледный
Писарева,писарь
Путилова,поселение
Семенова,услышанный Богом
Ужинская,уж
Акулова,орёл
Бокотей,хлеб
Бортникова,пчеловод
Буйлова,буйвол
Жукова,жук
Жукова,жук
Золотая,золото
Кабринец,прятать
Карелина,стадо
Клитная,амбар
Кравцова,портной
Крымова,великодушный
Лосева,мощный
Мельник,мельник
Михалко,кто подобен Богу
Мурысева,темные волосы
Османова,могущество
Симоненко,маленький
Смыслова,задумывать
Спирькина,сын Спирки
Улюмджиева,мудрость
Фор,деятель
Цабринова,цабрия
Арестакесян,святой защитник
Афанасьева,бессмертный
Воронина,ворона
Гетманова,командир отряда
Гончарова,гончар
Пыжьянова,морская рыба
Семко,услышанный Богом в молитве
Сыздыкова,чертить линию
Хисматуллина,слуга Бога
Чалахян,честный
Ярошенко,богопоклонник
Абдикаюмов,раб Бога
Амирян,повелитель
Балдина,болван
Безнос,грудь
Бородина,покладистая борода
Бурняшева,перегонять
Вандышева,всякая мелкая рыба
Гоголева,водоплавающая птица
Гонта,тонко вытесанные деревянные дощечки
Гуров,земледелец
Домбаева,горный
Дурова,веселый
Жгун,прожигатель
Ибрагимова,патриарх
Кабатов,длинная рубаха
Канищев,трудящийся
Кожокарь,скорняк
Кравцова,портной
Куартова,четвертый
Куделина,пучок шерсти
Куцова,коренастый
Лычко,молодая древесина
Манвелян,дитя
Маркова,сын Марка
Мартенс,посвященный воин
Музалова,творческий
Романко,правдивый
Рябинина,негладкий
Селицкая,крестьянское селение
Сильченко,лесной
Тестова,испытание
Толмасова,не устанет
Шевченко,портной
Яхия,Живой
Акинин,живительный
Ачкасова,очкас
Васильченко,царский
Гапунич,керамист
Гетманова,капитан
Гончаров,гончар
Грязнов,неопрятный
Джумамырадова,светлое лицо
Евдокимова,славный
Емельяненко,трудолюбивый
Захарина,сын Захара
Иванян,подарок от Бога
Калашников,пекарь
Колесник,колесо
Кривко,кривость
Кувшинова,мастер
Кундылева,перевозчик
Кухтина,высокий
Левченко,маленький
Майбенко,дружный
Мелконян,сын
Мозговая,толковый
Олейникова,маслобойщик
Панченко,небольшой барин
Перминов,пермяков
Попова,священник
Рябова,неровный
Титаренко,сельский церковный староста
Царегородцева,правитель
Цыганкова,цыган
Черников,черный
Шелуха,крошка
Антонова,противоборец
Бабарицкая,красивый
Багдасарова,богатство
Болыко,хлеб
Воропай,разбой
Галаева,молочный
Глотова,обжора
Горшкова,гончар
Губа,обидчивый
Добрикова,добрый
Емцева,пошлина
Ефремова,плодовитый
Зейдляев,процветание
Иордекеску,красивый
Калинина,добрый победитель
Кобзева,балалайка
Козичева,коза
Левченко,маленький
Лиманова,лидер
Манекина,манекен
Мельниченко,мельник
Мишура,корзинка
Орлова,орёл
Пришутов,весёлый
Равдугина,правда
Сеньковская,хозяйственный
Сергатова,высокий
Силонова,лесной
Сорокаева,сорока
Сыряная,сырость
Татаренко,татарин
Тращенко,пугать
Чернокалова,слабая накалка железа
Шевченко,сын
Щербанева,гнездо
Абрамчук,великий отец
Авдеева,слуга Божий
Андрианов,мужественность
Атапина,не знающий горя
Безуглая,приют
Бондаренко,бондарь
Бреус,горячий
Вакуленко,пастух
Гайтота,уличный
Гатченко,маленький
Глинская,литовский княжеский род
Иванкова,божье вознаграждение
Исаев,спасение
Квиникадзе,сын
Кириллов,господин
Когтеева,острый
Колесникова,колесо
Кометиани,Комета
Кордюк,сабля
Корон,король
Костюк,стойкий
Кошлаков,молодая морская выдра
Кравцова,портной
Красовская,красивый
Кривошеева,кривая шея
Куринова,господний
Мордвинова,Мордвин
Мун,ворота
Полторанина,крупный
Рязанцева,мелкие яблочки
Сикорова,синица
Сологуб,торговец
Ткаченко,молодой человек
Торосян,энергия
Филонова,привязанность
Чубукина,трубка
Штырина,стержень
Бородавка,борода
Ващенко,маленький
Гамула,вести за собой
Горденко,высокий статус
Демина,слышащий Бога
Ивакина,подарок Божий
Кадиев,правосудие
Кардава,обрыв
Карлова,смелый
Ковалева,кузнец
Ковура,вспыльчивый
Колесова,беспокойный
Крутикова,мошенник
Кузнецова,кузнец
Лузан,кисель
Оглы,сын
Пахомов,широкоплечий
Полоусова,усы
Садчикова,огород
Сергеев,страж
Удовенко,маленький
Федченко,дар богов
Хохлова,чуб
Шипачёва,профессиональный
Агапова,любить
Балабанов,шутник
Богданов,богом данный
Бурнос,просторное пальто
Васильченко,царский
Веренич,суетливый
Гваладзе,поселение
Геревенко,высокий
Дмитриева,плодородие
Дмитриева,плодородие
Зехова,глазеть
Карпенко,плод
Левина,лев
Лубяная,липовая кора
Маслова,торговец маслом
